label_path,log_path,sys_sentence,turn_slu,usr_sentence
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'dontcare'}, 'area': {'east'}})",can that one
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'dontcare'}})",ok don't in
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,"Would you like something in the cheap , moderate , or expensive price range?","defaultdict(<class 'set'>, {'pricerange': {'moderate'}})",moderate
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,yippee noodle bar is a nice place in the centre of town and the prices are moderate,"defaultdict(<class 'set'>, {})",is there anything else
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,cotto is a nice place in the centre of town and the prices are moderate,"defaultdict(<class 'set'>, {})",can i get the phone number and
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,The phone number of cotto is 01223 302010 .,"defaultdict(<class 'set'>, {})",price range
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,cotto is in the moderate price range,"defaultdict(<class 'set'>, {})",can i get the phone number and price range
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_142118\log.json,The phone number of cotto is 01223 302010 .,"defaultdict(<class 'set'>, {})",thank you good bye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",that's ok
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'pricerange': {'cheap'}, 'area': {'east', 'west'}})",cheap part
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,"Let me confirm , You are looking for a restaurant in the cheap price range right?","defaultdict(<class 'set'>, {'pricerange': {'cheap', 'dontcare'}})",i don't care about the price range
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'food': {'world'}, 'area': {'south'}})",uh world food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,I'm sorry but there is no restaurant serving world food,"defaultdict(<class 'set'>, {'food': {'mediterranean'}})",how about mediterranean food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,Sorry would you like world or mediterranean food?,"defaultdict(<class 'set'>, {'food': {'mediterranean'}})",mediterranean food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,the gardenia serves mediterranean food,"defaultdict(<class 'set'>, {})",is there anything else
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,shiraz restaurant serves mediterranean food,"defaultdict(<class 'set'>, {})",can i have the address
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-b772dbf437-20130402_141805\log.json,"Sure , shiraz restaurant is on 84 Regent Street City Centre","defaultdict(<class 'set'>, {})",thank you good bye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'west'}})",west part of town
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\log.json,"Would you like something in the cheap , moderate , or expensive price range?","defaultdict(<class 'set'>, {'pricerange': {'cheap'}})",cheap
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\log.json,la margherita is a nice restaurant in the west of town in the cheap price range,"defaultdict(<class 'set'>, {})",do you have another option anything else
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\log.json,thanh binh is a nice restaurant in the west of town in the cheap price range,"defaultdict(<class 'set'>, {})",can i have the phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-b772dbf437-20130402_141105\log.json,The phone number of thanh binh is 01223 362456 .,"defaultdict(<class 'set'>, {})",thank you good bye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'east'}})",east
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'pricerange': {'expensive'}})",expensive
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'vietnamese', 'dontcare'}, 'area': {'dontcare'}})",any type
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,yu garden is a nice place in the east of town and the prices are expensive,"defaultdict(<class 'set'>, {'area': {'east'}})",is there anything else
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,sitar tandoori is a nice place in the east of town and the prices are expensive,"defaultdict(<class 'set'>, {'food': {'dontcare'}})",can i have the phone number and the type of food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,The phone number of sitar tandoori is 01223 249955 .,"defaultdict(<class 'set'>, {'food': {'dontcare'}})",type of food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_142550\log.json,sitar tandoori serves indian food,"defaultdict(<class 'set'>, {})",thank you goodbye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",oh well
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'centre'}})",the centre of town
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'spanish'}})",spanish
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,"Would you like something in the cheap , moderate , or expensive price range?","defaultdict(<class 'set'>, {'pricerange': {'dontcare'}, 'area': {'east'}})",it doesn't matter
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,la raza is a nice place in the centre of town serving tasty spanish food,"defaultdict(<class 'set'>, {})",is there anything else
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,la tasca is a nice place in the centre of town serving tasty spanish food,"defaultdict(<class 'set'>, {})",could you give me the address phone number and post code
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-b772dbf437-20130402_141548\log.json,The phone number of la tasca is 01223 464630 and it is on 14 -16 Bridge Street .,"defaultdict(<class 'set'>, {})",thank you good bye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {'food': {'mexican'}, 'area': {'south'}})",a restaurant in the south part of town that serves mexican food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\log.json,chiquito restaurant bar is a nice restaurant in the south of town serving mexican food,"defaultdict(<class 'set'>, {})",what's the address and phone number and price range
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\log.json,The phone number of chiquito restaurant bar is 01223 400170 and it is on 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton .,"defaultdict(<class 'set'>, {})",what's the price range
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\log.json,chiquito restaurant bar is in the expensive price range,"defaultdict(<class 'set'>, {})",okay thank you'll
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\log.json,Can I help you with anything else?,"defaultdict(<class 'set'>, {'area': {'south'}})",no
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A0\voip-ec87351630-20130328_162752\log.json,Can I help you with anything else?,"defaultdict(<class 'set'>, {})",no thank you
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {'food': {'lebanese'}, 'area': {'centre'}})",ah i'm looking for a restaurant in the centre part of town that serves lebanese food
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\log.json,ali baba is a nice place in the centre of town serving tasty lebanese food,"defaultdict(<class 'set'>, {})",what's the address and phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\log.json,"Sure , ali baba is on 59 Hills Road City Centre","defaultdict(<class 'set'>, {})",phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A0\voip-ec87351630-20130328_162916\log.json,The phone number of ali baba is 01462 432565 .,"defaultdict(<class 'set'>, {})",okay thank you goodbye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {'pricerange': {'moderate'}, 'area': {'south'}})",moderately priced restaurant in the south part of town
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\log.json,pizza hut cherry hinton is a nice restaurant in the south of town in the moderate price range,"defaultdict(<class 'set'>, {})",address phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\log.json,You are looking for a restaurant is that right?,"defaultdict(<class 'set'>, {})",yes
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\log.json,pizza hut cherry hinton is a nice restaurant in the south of town in the moderate price range,"defaultdict(<class 'set'>, {})",address and phone number
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S0A1\voip-14cb91bc48-20130327_202138\log.json,"Sure , pizza hut cherry hinton is on G4 Cambridge Leisure Park Clifton Way Cherry Hinton","defaultdict(<class 'set'>, {})",thank you goodbye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {})",
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'north', 'dontcare'}})",
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'east', 'west', 'south', 'dontcare'}})",doesn't matter
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'east', 'west', 'dontcare'}})",does not matter
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'pricerange': {'cheap'}, 'area': {'west', 'dontcare'}})",cheap
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,"Let me confirm , You are looking for a restaurant in the cheap price range right?","defaultdict(<class 'set'>, {'pricerange': {'cheap'}})",
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,"Let me confirm , You are looking for a restaurant in the cheap price range right?","defaultdict(<class 'set'>, {'pricerange': {'cheap'}})",cheap
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'centre', 'east', 'west', 'south'}})",the
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'dontcare'}})",i don't care
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,What kind of food would you like?,"defaultdict(<class 'set'>, {'food': {'brazilian'}})",brazilian
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,I'm sorry but there is no restaurant serving brazilian food,"defaultdict(<class 'set'>, {'food': {'gastropub'}})",gastropub
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,I'm sorry but there is no restaurant serving cheap gastropub food,"defaultdict(<class 'set'>, {'pricerange': {'moderate'}})",how about moderately price
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130327_190136\log.json,the slug and lettuce serves gastropub food,"defaultdict(<class 'set'>, {})",thank you goodbye
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\log.json,"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?","defaultdict(<class 'set'>, {'pricerange': {'expensive'}})",expensive
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\log.json,What part of town do you have in mind?,"defaultdict(<class 'set'>, {'area': {'east', 'north', 'south', 'dontcare', 'west'}})",no
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\log.json,Did you say you are looking for a restaurant in the south of town?,"defaultdict(<class 'set'>, {'area': {'south'}})",no
D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\label.json,D:\pycharm\PtrNet_SLU\data\DSTC2\data\Mar13_S1A1\voip-14cb91bc48-20130328_162839\log.json,Did you say you are looking for a restaurant in the south of town?,"defaultdict(<class 'set'>, {'area': {'west', 'south'}, 'pricerange': {'cheap'}})",what cheap e
